Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.5261109350000001,0.9859,0.4842,0.2667,0.7843,0.3980453092293054
zsclip_txt,maxlogit,0.6747634050000001,0.7972999999999999,0.4842,0.3359,0.6938,0.4526511022627949
zsclip_txt,energy,0.711469385,0.7045142857142854,0.4842,0.3329,0.6823,0.4474737391646965
rosita_v2_txt,maxlogit_plthresh07,0.693279875,0.8099,0.4941,0.3698,0.6783,0.4786477244537735
rosita_v1_txt,maxlogit_plthresh07,0.69425719,0.7979,0.4799,0.3565,0.6933,0.470873404457992
rosita_v12_txt,maxlogit_plthresh07,0.711304445,0.7945,0.5021,0.384,0.6799,0.4908010151330012
rosita_v12_simclr_txt,maxlogit_plthresh07,0.763786885,0.6836,0.4859,0.4001,0.6904,0.5066098853736819
rosita_v12_pl_txt,maxlogit_plthresh07,0.696378765,0.8172,0.5116,0.3739,0.6868,0.4841982087300838
rosita_v11_txt,maxlogit_plthresh07,0.7007658250000001,0.7961,0.4925,0.368,0.6836,0.4784419931532901
rosita_v10_txt,maxlogit_plthresh07,0.7074474850000001,0.7946,0.4979,0.3819,0.6735,0.4874164297896531
rosita_v10_pl_txt,maxlogit_plthresh07,0.68695233,0.8165,0.509,0.3809,0.6605,0.4831658344536202
rosita_v0_txt,maxlogit_plthresh07,0.698944975,0.8096,0.4936,0.3739,0.6809,0.4827237580583997
rosita_v0_analysis_txt,maxlogit_plthresh09,0.761826815,0.6866,0.4863,0.3942,0.6996,0.5042646187602853
rosita_v0_analysis_txt,maxlogit_plthresh05,0.7056380099999999,0.8022,0.4987,0.3817,0.6795,0.48881483226536
rosita_v0_analysis_txt,maxlogit_plthresh03,0.7155289650000001,0.7898,0.5022,0.3893,0.6833,0.4960072534029461
rosita_v0_analysis_txt,maxlogit_plthresh010,0.763786885,0.6836,0.4859,0.4001,0.6904,0.5066098853736819
rosita_v0_analysis_txt,maxlogit_plthresh01,0.711535735,0.7944,0.5023,0.3856,0.6789,0.4918437576326914
rosita_v0_analysis_txt,maxlogit_plthresh00,0.711304445,0.7945,0.5021,0.384,0.6799,0.4908010151330012
ft_pl_txt,msp_plthresh07,0.5679881550000001,0.9744,0.5003,0.3256,0.7382,0.451885542395187
ft_pl_txt,maxlogit_plthresh07,0.679069445,0.8232,0.5007,0.3697,0.6635,0.4748276229190863
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.7002067750000001,0.8065,0.4934,0.3742,0.6818,0.4831999242424242
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.563630225,0.9581,0.3807,0.2485,0.7652,0.3751646443721022
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.78175611,0.6248,0.4768,0.4016,0.6992,0.5101720930232558
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.620793595,0.9418,0.483,0.3491,0.7201,0.4702336513280958
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.7568716600000001,0.6604,0.4895,0.3885,0.7134,0.5030509120609855
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.569463995,0.9574,0.4147,0.2748,0.7501,0.4022392038247634
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.7896394800000001,0.6072,0.4752,0.4039,0.6998,0.5121848690767419
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.589158775,0.9586,0.4669,0.3203,0.7246,0.4442327112642358
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.775431175,0.6594,0.4752,0.3812,0.7393,0.503027505577867
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.585522825,0.9625,0.5055,0.3485,0.7106,0.4676500802568218
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.6819494199999999,0.8397,0.4998,0.3755,0.6709,0.4815041093272172
