Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.571976115,0.9744,0.5023,0.3291,0.733,0.4542515770643066
zsclip_txt,maxlogit,0.6659919300000001,0.8258652173913043,0.5023,0.3433,0.699,0.4604561066871341
zsclip_txt,energy,0.6798843600000001,0.769241935483871,0.5023,0.3161,0.6867,0.4329195652173913
tpt_txt,maxlogit,0.6661080399999999,0.825,0.4734,0.3158,0.6966,0.4345837218490715
rosita_v2_txt,maxlogit_plthresh07,0.667892735,0.8529,0.5043,0.3576,0.6879,0.4705749210903873
rosita_v1_txt,maxlogit_plthresh07,0.67883943,0.8219,0.4971,0.3665,0.6889,0.4784571726359674
rosita_v12_txt,maxlogit_plthresh07,0.6788321199999999,0.8376,0.5159,0.3756,0.6682,0.4808889059206744
rosita_v12_simclr_txt,maxlogit_plthresh07,0.679569715,0.8359,0.5016,0.365,0.6744,0.4736501827977679
rosita_v12_pl_txt,maxlogit_plthresh07,0.6764704349999999,0.8348,0.5116,0.3783,0.6576,0.480297480451781
rosita_v11_txt,maxlogit_plthresh07,0.677990095,0.824,0.5065,0.3704,0.6866,0.4812046168401135
rosita_v10_txt,maxlogit_plthresh07,0.67693603,0.84,0.5072,0.3657,0.6811,0.4758851165456629
rosita_v10_pl_txt,maxlogit_plthresh07,0.676018295,0.8263,0.5085,0.3695,0.6695,0.4761891241578441
rosita_v0_txt,maxlogit_plthresh07,0.6702886450000001,0.8551,0.505,0.3605,0.683,0.471914710110206
promptalign_txt,maxlogit,0.6661080399999999,0.825,0.4798,0.3222,0.6966,0.4406056537102473
promptalign_aug_txt,maxlogit,0.6661080399999999,0.825,0.5024,0.3448,0.6966,0.461278432878817
ft_pl_txt,msp_plthresh07,0.587762345,0.9637,0.5054,0.3595,0.6969,0.4743194812570995
ft_pl_txt,maxlogit_plthresh07,0.674959605,0.8301,0.5065,0.3657,0.6786,0.4752734271760988
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.66986153,0.856,0.5045,0.3603,0.6825,0.4716239930955121
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.593921275,0.9572,0.4929,0.3609,0.6756,0.4704757163531114
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.7227557199999999,0.718,0.4871,0.3753,0.7268,0.4949968968333181
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.593667605,0.9578,0.4932,0.3631,0.6721,0.4714828245749612
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.71906498,0.73,0.4868,0.3711,0.7219,0.4902051052150046
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.59838273,0.9576,0.5111,0.3748,0.6674,0.4800259451161006
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.68121437,0.8318,0.5161,0.3757,0.6663,0.4804777543186179
