Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.943488085,0.2903,0.4537,0.4039,0.983,0.5725484173336217,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.938876705,0.3148,0.4547,0.4041,0.9812,0.5724433985418321,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.93413849,0.3289,0.4556,0.4018,0.9818,0.5702330731425268,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.922069485,0.377,0.4586,0.4027,0.9807,0.5709525661413908,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.914606825,0.3885,0.451,0.3943,0.9786,0.5621122878578192,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.91026043,0.44,0.4692,0.4115,0.9803,0.579671576375916,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.918901685,0.3338,0.4252,0.3755,0.9659,0.5407715073803488,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.91657291,0.3395,0.4272,0.3777,0.9633,0.5426374496644295,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.907098995,0.3758,0.4266,0.3738,0.9603,0.5381307847987408,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.91968288,0.3211,0.4228,0.3733,0.9671,0.5386726797970754,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.9087730399999998,0.4186,0.46,0.3948,0.9692,0.5610559530791789,1,1,0.5,True,True,maxlogit
