Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.606343445,0.9524,0.4842,0.2813,0.8298,0.4201651336513365
zsclip_txt,maxlogit,0.63281788,0.9324714285714284,0.4842,0.3206,0.7042,0.4406060109289618
zsclip_txt,energy,0.62023334,0.9135285714285712,0.4842,0.3313,0.5507,0.4137118140589569
rosita_v2_txt,maxlogit_plthresh07,0.6933733599999999,0.8764,0.4997,0.3607,0.7126,0.4789617441535451
rosita_v1_txt,maxlogit_plthresh07,0.679428405,0.8768,0.4651,0.3396,0.7066,0.4587294207608488
rosita_v12_txt,maxlogit_plthresh07,0.712328275,0.8361,0.5044,0.3832,0.6864,0.4918258788332088
rosita_v12_simclr_txt,maxlogit_plthresh07,0.686229795,0.8872,0.4952,0.3608,0.7126,0.4790498975218931
rosita_v12_pl_txt,maxlogit_plthresh07,0.7054559600000001,0.8465,0.5104,0.3776,0.6911,0.4883678487882474
rosita_v12_debug_txt,maxlogit_plthresh07,0.711178835,0.8399,0.5048,0.378,0.7006,0.4910565547932505
rosita_v11_txt,maxlogit_plthresh07,0.69113583,0.8698,0.4798,0.3438,0.7187,0.4651088188235294
rosita_v10_txt,maxlogit_plthresh07,0.7030210699999999,0.8639,0.5016,0.3714,0.7017,0.4857168577019849
rosita_v10_pl_txt,maxlogit_plthresh07,0.6902138,0.8702,0.5129,0.3675,0.6984,0.4815873909372361
rosita_v0_txt,maxlogit_plthresh07,0.694847605,0.8787,0.4972,0.3657,0.7035,0.4812382154882155
rosita_v0_analysis_txt,maxlogit_plthresh09,0.6889331399999999,0.8844,0.4917,0.3625,0.7021,0.4781349802742813
rosita_v0_analysis_txt,maxlogit_plthresh05,0.702643405,0.8651,0.5009,0.3738,0.7011,0.4876196483393804
rosita_v0_analysis_txt,maxlogit_plthresh03,0.7078358650000001,0.8515,0.5013,0.3778,0.6969,0.4899764027170373
rosita_v0_analysis_txt,maxlogit_plthresh010,0.686229795,0.8872,0.4952,0.3608,0.7126,0.4790498975218931
rosita_v0_analysis_txt,maxlogit_plthresh01,0.711699475,0.8356,0.5044,0.3819,0.6872,0.4909581517163969
rosita_v0_analysis_txt,maxlogit_plthresh00,0.712328275,0.8361,0.5044,0.3832,0.6864,0.4918258788332088
ft_pl_txt,msp_plthresh07,0.633179285,0.9502,0.5029,0.3343,0.8026,0.472001372152344
ft_pl_txt,maxlogit_plthresh07,0.6745429350000001,0.8969,0.5041,0.3633,0.6846,0.4746925851703407
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.695209765,0.8786,0.4975,0.3651,0.7042,0.4808817357149537
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.5561521349999999,0.944,0.342,0.2192,0.7905,0.3432259086857482
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.601222775,0.9499,0.4032,0.3048,0.6219,0.4090970540628035
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.5740816249999999,0.9498,0.4046,0.2762,0.7319,0.4010530304533281
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.580340555,0.9546,0.3771,0.2617,0.6746,0.3771073801132116
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.55848418,0.9429,0.3559,0.2294,0.7794,0.3544693893735131
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.62942379,0.9316,0.4164,0.3017,0.6791,0.4177905179445351
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.5872637,0.9413,0.419,0.2748,0.7769,0.4059943329846914
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.68508274,0.8755,0.4729,0.3436,0.7085,0.4627708392738333
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.636219455,0.9429,0.5062,0.3478,0.7719,0.4795334821827275
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.6979189600000001,0.8607,0.5026,0.3751,0.6888,0.4857014381050851
