Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.909022055,0.5524,0.7659,0.6649,0.9113,0.7688407181829717,3,10,0.5,1,0,maxlogit
rosita_loss_txt,0.903492825,0.626,0.7385,0.6075,0.9556,0.7427893288977033,3,10,0.5,0,0,maxlogit
rosita_loss_cupl,0.98061768,0.0878,0.7839,0.7328,0.9852,0.8404593247962748,3,10,0.5,1,0,maxlogit
rosita_loss_cupl,0.98169983,0.0712,0.7502,0.6906,0.9927,0.8145412225984673,3,10,0.5,0,0,maxlogit
rosita_knn_txt,0.951986555,0.2911,0.7516,0.668,0.9526,0.7853101320498581,5,1,0.5,1,1,maxlogit
rosita_knn_txt,0.955088645,0.2554,0.7359,0.6644,0.9575,0.7844663666070658,4,7,0.5,1,1,maxlogit
rosita_knn_txt,0.947346035,0.3023,0.7301,0.6506,0.9534,0.7734190024937655,4,5,0.5,1,1,maxlogit
rosita_knn_txt,0.946073985,0.3113,0.7303,0.6524,0.952,0.7742268760907504,4,3,0.5,1,1,maxlogit
rosita_knn_txt,0.9564187700000002,0.2561,0.7336,0.6635,0.964,0.7860079877112134,4,10,0.5,1,1,maxlogit
rosita_knn_txt,0.951537345,0.2955,0.7492,0.6708,0.9485,0.7858380781819304,4,1,0.5,1,1,maxlogit
rosita_knn_txt,0.95365627,0.2675,0.729,0.6562,0.9592,0.7792831992076266,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.95268082,0.2685,0.7271,0.6529,0.9574,0.7763602558529467,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.93909963,0.3487,0.7253,0.65,0.9504,0.7720069982504375,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.947585125,0.3239,0.7435,0.6566,0.9545,0.7780084414375272,3,1,0.5,1,1,maxlogit
rosita_knn_txt,0.93967538,0.3654,0.7143,0.6259,0.9705,0.7610072037083438,2,7,0.5,1,1,maxlogit
rosita_knn_txt,0.941312635,0.3456,0.7188,0.6389,0.9565,0.7660873135263883,2,5,0.5,1,1,maxlogit
rosita_knn_txt,0.934455265,0.3879,0.7218,0.6373,0.9467,0.7617827146464645,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.9429835,0.3488,0.7122,0.6225,0.974,0.7595552771688068,2,10,0.5,1,1,maxlogit
rosita_knn_txt,0.933043375,0.3904,0.7405,0.6518,0.9476,0.772346730023759,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.91983255,0.4845,0.685,0.5865,0.9626,0.728894067523078,1,7,0.5,1,1,maxlogit
rosita_knn_txt,0.914153645,0.5165,0.6897,0.5895,0.956,0.7292940795858945,1,5,0.5,1,1,maxlogit
rosita_knn_txt,0.92087832,0.4734,0.6931,0.5976,0.958,0.7360514271020828,1,3,0.5,1,1,maxlogit
rosita_knn_txt,0.91969319,0.4835,0.6811,0.5823,0.967,0.7268884012134511,1,10,0.5,1,1,maxlogit
rosita_knn_txt,0.92273819,0.4622,0.732,0.6389,0.9347,0.7589982587697001,1,1,0.5,1,1,maxlogit
