Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.9865842633333332,0.0703,0.7427,0.6498,0.9979,0.7870794683498211
zsclip_txt,maxlogit,0.8683346816666666,0.88022,0.7427,0.4978666666666667,0.9879,0.6620723038610818
ft_pl_txt,msp_plthresh07,0.9758319966666666,0.1377,0.7534666666666666,0.6734666666666667,0.9889,0.8012566661987929
ft_pl_txt,maxlogit_plthresh07,0.8414611033333333,0.9244,0.7537333333333334,0.4995,0.9788,0.6614497733883515
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.92531588,0.3795,0.753,0.6709,0.9113,0.7728367715838707
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.8525286416666665,0.909,0.7527666666666667,0.5014,0.9832,0.6641202748215007
