Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.947989395,0.2034,0.4756,0.4469,0.9887,0.6155614795207579,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.94786451,0.2126,0.4705,0.441,0.9893,0.6100556526602811,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.95153105,0.1943,0.473,0.4458,0.9902,0.6148066295264624,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.95681692,0.184,0.4778,0.4496,0.9882,0.618020197523995,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.95680977,0.1678,0.4748,0.4484,0.9879,0.6168270695537144,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.94770667,0.2515,0.493,0.4545,0.9853,0.6220570218085846,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.95507371,0.1489,0.4621,0.4405,0.99,0.6097098916462775,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.950480615,0.144,0.4426,0.4177,0.985,0.5866322093106152,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.956188705,0.139,0.4575,0.4334,0.9833,0.6016266252558763,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.954864565,0.1482,0.4574,0.4358,0.9898,0.6051554994388328,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.94455295,0.2261,0.4841,0.4479,0.9873,0.6162369983277591,1,1,0.5,True,True,maxlogit
