Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.697613825,0.844,0.5121,0.3771,0.6882,0.4872246691072937,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.6969080049999999,0.8409,0.5106,0.3747,0.6887,0.4853411510250141,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.6962763399999999,0.842,0.5106,0.3727,0.6952,0.4852533757842494,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.6951921299999999,0.8406,0.5113,0.3703,0.6982,0.4839372204024333,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.6930089300000001,0.8376,0.5099,0.3688,0.6946,0.4817913861199925,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.656528425,0.8949,0.4719,0.3371,0.6843,0.4516889171725083,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.666809815,0.8881,0.4837,0.3531,0.6661,0.4615382849293563,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.6815210949999999,0.8621,0.4961,0.3623,0.6818,0.4731656737860358,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.64590647,0.912,0.4699,0.3344,0.6766,0.4475866271018793,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.693456755,0.8472,0.5054,0.3745,0.6807,0.4831731425322214,1,1,0.5,True,True,maxlogit
