Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr
tpt_txt,maxlogit,0.900764935,0.8122,0.7487,0.5918,0.9836,0.7389799162117556,,,,,
rosita_loss_txt,maxlogit,0.98204893,0.1121,0.7399,0.7105,0.9981,0.8300948729954347,3.0,10.0,0.5,True,True
rosita_loss_txt,maxlogit,0.900764935,0.8122,0.7635,0.6066,0.9836,0.7504109671739405,3.0,10.0,0.5,0,0
