Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.77079855,0.9635,0.4842,0.2849,0.9923,0.4426969464453492
zsclip_txt,maxlogit,0.7408363850000002,0.9999,0.4842,0.32,0.9619,0.480237147983462
zsclip_txt,energy,0.6567269199999999,1.0,0.4842,0.2048,0.9911,0.3394552721799482
rosita_v2_txt,maxlogit_plthresh07,0.960800895,0.2632,0.451,0.402,0.9827,0.570586264172745
rosita_v1_txt,maxlogit_plthresh07,0.8694112350000001,0.5957,0.4401,0.3633,0.9433,0.5245689422929742
rosita_v12_txt,maxlogit_plthresh07,0.905896155,0.4721,0.4524,0.3861,0.9383,0.5470818936877077
rosita_v12_simclr_txt,maxlogit_plthresh07,0.94740907,0.2674,0.4539,0.4009,0.9776,0.5686178309756982
rosita_v12_pl_txt,maxlogit_plthresh07,0.747380715,0.8738,0.4989,0.379,0.7509,0.5037456412071863
rosita_v11_txt,maxlogit_plthresh07,0.890070365,0.4882,0.4508,0.3866,0.9472,0.5490890988154146
rosita_v10_txt,maxlogit_plthresh07,0.95240261,0.2283,0.4483,0.401,0.9774,0.5686845618107952
rosita_v10_pl_txt,maxlogit_plthresh07,0.7641368949999999,0.9725,0.5088,0.3504,0.8951,0.5036419751103974
rosita_v0_txt,maxlogit_plthresh07,0.95715601,0.2368,0.4573,0.4064,0.9822,0.5749187382975659
rosita_v0_analysis_txt,maxlogit_plthresh09,0.948512955,0.2402,0.4539,0.4053,0.9851,0.5743110327963176
rosita_v0_analysis_txt,maxlogit_plthresh05,0.952556055,0.2405,0.4576,0.4093,0.9715,0.5759486529548088
rosita_v0_analysis_txt,maxlogit_plthresh03,0.89156365,0.5463,0.4515,0.3792,0.9382,0.5401023834826172
rosita_v0_analysis_txt,maxlogit_plthresh010,0.94740907,0.2674,0.4539,0.4009,0.9776,0.5686178309756982
rosita_v0_analysis_txt,maxlogit_plthresh01,0.906011575,0.4726,0.4523,0.3862,0.9386,0.5472332729468599
rosita_v0_analysis_txt,maxlogit_plthresh00,0.905896155,0.4721,0.4524,0.3861,0.9383,0.5470818936877077
ft_pl_txt,msp_plthresh07,0.725402195,0.969,0.5028,0.3315,0.9407,0.4902406068228265
ft_pl_txt,maxlogit_plthresh07,0.751931595,0.993,0.5035,0.3358,0.9295,0.493362996917727
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.958396235,0.2359,0.4563,0.4061,0.9817,0.5745328865830812
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.866760065,0.6958,0.4021,0.2827,0.9888,0.4396913252064491
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.97861212,0.1164,0.4263,0.398,0.9874,0.5673238053991627
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.8602086499999999,0.7071,0.4172,0.3045,0.9816,0.464811756473058
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.96603861,0.1343,0.4357,0.4107,0.9814,0.5790690036635299
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.87032104,0.6787,0.4013,0.2846,0.9877,0.4418760040870864
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.97751769,0.1197,0.4268,0.3977,0.9872,0.5669859773268827
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.613787005,0.9711,0.38,0.2436,0.8854,0.3820787245349867
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.987113275,0.1048,0.4153,0.3874,0.9947,0.5576250343679908
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.670524095,0.9565,0.5056,0.3503,0.8358,0.4936864345333446
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.80377209,0.9021,0.5031,0.3687,0.8943,0.5221352494061758
