Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.619281815,0.9543,0.5023,0.3363,0.7742,0.4689121296713192
zsclip_txt,maxlogit,0.66927406,0.8793739130434782,0.5023,0.3345,0.7394,0.460618865816184
zsclip_txt,energy,0.663450205,0.842316129032258,0.5023,0.2911,0.72,0.4145821382652557
tpt_txt,maxlogit,0.66929772,0.8795,0.4735,0.3063,0.7371,0.432765439907993
rosita_v2_txt,maxlogit_plthresh07,0.69236458,0.8516,0.5096,0.3728,0.6932,0.4848498311444653
rosita_v1_txt,maxlogit_plthresh07,0.6807806750000001,0.8667,0.4985,0.361,0.7014,0.4766667921686747
rosita_v12_txt,maxlogit_plthresh07,0.6925958099999999,0.8407,0.518,0.3749,0.6834,0.4841853160729472
rosita_v12_simclr_txt,maxlogit_plthresh07,0.6970046049999999,0.8485,0.507,0.3709,0.6966,0.4840635878220141
rosita_v12_pl_txt,maxlogit_plthresh07,0.6776631249999999,0.8555,0.5115,0.3817,0.6339,0.4764860771957463
rosita_v11_txt,maxlogit_plthresh07,0.68659953,0.8616,0.5138,0.3787,0.6835,0.4873685746563735
rosita_v10_txt,maxlogit_plthresh07,0.697613825,0.844,0.5121,0.3771,0.6882,0.4872246691072937
rosita_v10_pl_txt,maxlogit_plthresh07,0.68719068,0.8453,0.5106,0.373,0.6721,0.4797498803942206
rosita_v0_txt,maxlogit_plthresh07,0.6908291500000001,0.8566,0.5099,0.3728,0.692,0.4845559729526671
promptalign_txt,maxlogit,0.66929772,0.8795,0.4797,0.3125,0.7371,0.4389172065548781
promptalign_aug_txt,maxlogit,0.66929772,0.8795,0.5024,0.3352,0.7371,0.4608335726942087
ft_pl_txt,msp_plthresh07,0.6206681000000001,0.9494,0.506,0.3646,0.7163,0.483232454436118
ft_pl_txt,maxlogit_plthresh07,0.68404149,0.8531,0.5079,0.3665,0.6886,0.4783847976495119
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.69101255,0.8543,0.51,0.3732,0.6921,0.4849182765418191
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.6118838999999999,0.9361,0.4766,0.3505,0.7008,0.4672888804337486
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.6133725099999999,0.9517,0.4057,0.2939,0.6457,0.4039404640272456
ft_pl_neg_proto_bank_v3_debug_txt,maxlogit_plthresh07,0.6908291500000001,0.8566,0.5099,0.3728,0.692,0.4845559729526671
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.612721005,0.9348,0.4766,0.3503,0.6992,0.4667551405431158
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.614387005,0.952,0.4056,0.2963,0.643,0.4056657085063345
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.62610874,0.9365,0.5146,0.3806,0.6896,0.4904910484021678
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.69306238,0.8381,0.5134,0.3787,0.6754,0.485293577459444
