Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.67693603,0.84,0.5072,0.3657,0.6811,0.4758851165456629,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.679357495,0.83,0.5102,0.3686,0.6776,0.4774677117186006,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.68045389,0.8249,0.5099,0.3666,0.6817,0.4767933225221787,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.64311534,0.8967,0.4704,0.3367,0.6638,0.4467795302348825,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.656722255,0.8677,0.4789,0.3442,0.6787,0.4567573369830873,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.670429955,0.85,0.4947,0.3628,0.6621,0.4687479363840374,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.633306265,0.9057,0.4675,0.3294,0.668,0.4412255865249649,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.672087045,0.8446,0.5023,0.3591,0.6814,0.4703329937530033,1,1,0.5,True,True,maxlogit
